Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF ENVIRONMENT PROTECTION,Associate Public Health Sanitarian 2,ASSOCIATE PUBLIC HEALTH SANITA,Health,F,60673,91795,Annual,96-05 Horace Harding Expway
DEPARTMENT OF TRANSPORTATION,Senior Port Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,60435,135000,Annual,"1 Bay St., S.I.,Ny"
DEPARTMENT OF TRANSPORTATION,Senior Port Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,60435,135000,Annual,"1 Bay St., S.I.,Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,79471,102388,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,79471,102388,Annual,"335 Adams Street, Brooklyn Ny"
NYC HOUSING AUTHORITY,Landscape Architect,LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,63074,91347,Annual,Design-Architecture
NYC HOUSING AUTHORITY,Landscape Architect,LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,63074,91347,Annual,Design-Architecture
DEPT OF ENVIRONMENT PROTECTION,Environmental Program Manager,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Health Public Safety, Inspections, & Enforcement",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Environmental Program Manager,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Health Public Safety, Inspections, & Enforcement",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Senior Project Manager,ADM CITY PLANNER (NON MGRL),"Policy, Research & Analysis",F,49990,80000,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,Senior Project Manager,ADM CITY PLANNER (NON MGRL),"Policy, Research & Analysis",F,49990,80000,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway
LAW DEPARTMENT,Student Legal Specialist,STUDENT LEGAL SPECIALIST,Communications & Intergovernmental Affairs,F,36270,41710,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Student Legal Specialist,STUDENT LEGAL SPECIALIST,Communications & Intergovernmental Affairs,F,36270,41710,Annual,"100 Church St., N.Y."
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF ENVIRONMENT PROTECTION,SUPERVISOR OF STOCK WORKERS I,SUPERVISOR OF STOCK WORKERS,Building Operations & Maintenance,,35951,55526,Annual,"1201 Metropolitan Ave, Bklyn"
DEPT OF ENVIRONMENT PROTECTION,SUPERVISOR OF STOCK WORKERS I,SUPERVISOR OF STOCK WORKERS,Building Operations & Maintenance,,35951,55526,Annual,"1201 Metropolitan Ave, Bklyn"
DEPT OF ENVIRONMENT PROTECTION,Engineer In Charge of Pumping,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",F,100000,125000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Engineer In Charge of Pumping,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",F,100000,125000,Annual,59-17 Junction Blvd Corona Ny
LAW DEPARTMENT,F/T Computer Aide,COMPUTER AIDE,"Technology, Data & Innovation",F,38157,49394,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,"Accountable Manager, CSO LTCP Program",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,"Accountable Manager, CSO LTCP Program",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF HEALTH/MENTAL HYGIENE,Human Resources Administrative Assistant,CLERICAL ASSOCIATE,Administration & Human Resources,F,30580,35098,Annual,420 East 26Th St Ny Ny
DEPT OF HEALTH/MENTAL HYGIENE,Human Resources Administrative Assistant,CLERICAL ASSOCIATE,Administration & Human Resources,F,30580,35098,Annual,420 East 26Th St Ny Ny
DEPARTMENT OF TRANSPORTATION,Waterfront Facilities Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,48535,105000,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Waterfront Facilities Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,48535,105000,Annual,55 Water St Ny Ny
ADMIN FOR CHILDREN'S SVCS,Director of Child Protective Audits,DIRECTOR OF FIELD OPERATIONS (,Social Services,F,60435,103044,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Supervisor/Auditors of Accountability and Audit Unit,DIRECTOR OF FIELD OPERATIONS (,Social Services,F,54643,94478,Annual,"150 William Street, New York N"
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny
POLICE DEPARTMENT,"Quality Assurance Manager, Crime Scene Unit, M-II",CRIMINALIST ASSISTANT DIRECTOR,"Public Safety, Inspections, & Enforcement",F,60435,161497,Annual,150-14 Jamaica Ave
POLICE DEPARTMENT,"Quality Assurance Manager, Crime Scene Unit, M-II",CRIMINALIST ASSISTANT DIRECTOR,"Public Safety, Inspections, & Enforcement",F,60435,161497,Annual,150-14 Jamaica Ave
DEPT OF ENVIRONMENT PROTECTION,"Accountable Project Manager,  Stormwater MS4 Evaluation and Alternatives",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",P,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,"Accountable Project Manager,  Stormwater MS4 Evaluation and Alternatives",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",P,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,"Engineer In Charge, Linear Capital Program Management",ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,105000,105000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,"Engineer In Charge, Linear Capital Program Management",ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,105000,105000,Annual,59-17 Junction Blvd Corona Ny
HRA/DEPT OF SOCIAL SERVICES,PROJECT SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,85823,111344,Annual,15 Metrotech
DEPT OF ENVIRONMENT PROTECTION,ASSOCIATE PUBLIC HEALTH SANITARIAN II,ASSOCIATE PUBLIC HEALTH SANITA,"Public Safety, Inspections, & Enforcement",F,60673,91795,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,ASSOCIATE PUBLIC HEALTH SANITARIAN II,ASSOCIATE PUBLIC HEALTH SANITA,"Public Safety, Inspections, & Enforcement",F,60673,91795,Annual,96-05 Horace Harding Expway
DEPARTMENT OF TRANSPORTATION,Resiliency Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,85000,105000,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Resiliency Engineer,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,85000,105000,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,67083,113725,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,67083,113725,Annual,55 Water St Ny Ny
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, EHS Facility Compliance Ì¢‰âÂ‰ÛÏ Downstate Division",ASSOCIATE PUBLIC HEALTH SANITA,"Public Safety, Inspections, & Enforcement",F,66390,97379,Annual,"3701 Jerome Ave, Bx NY 10467"
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, EHS Facility Compliance Ì¢‰âÂ‰ÛÏ Downstate Division",ASSOCIATE PUBLIC HEALTH SANITA,"Public Safety, Inspections, & Enforcement",F,66390,97379,Annual,"3701 Jerome Ave, Bx NY 10467"
DEPT OF ENVIRONMENT PROTECTION,Chief of Staff,ADMINISTRATIVE PROJECT MANAGER,"Policy, Research & Analysis",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Chief of Staff,ADMINISTRATIVE PROJECT MANAGER,"Policy, Research & Analysis",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,"Director, Capital Budget",ADMINISTRATIVE PROJECT MANAGER,"Finance, Accounting, & Procurement Policy, Research & Analysis",,105000,125000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,"Director, Capital Budget",ADMINISTRATIVE PROJECT MANAGER,"Finance, Accounting, & Procurement Policy, Research & Analysis",,105000,125000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,"Chief, Contract Support Unit",ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",P,60435,161497,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,"Chief, Contract Support Unit",ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",P,60435,161497,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Administrative Engineer,ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,90000,105000,Annual,16 Little Hollow Road
DEPT OF ENVIRONMENT PROTECTION,Administrative Engineer,ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,90000,105000,Annual,16 Little Hollow Road
DEPT OF ENVIRONMENT PROTECTION,STAFF ANALYST II,STAFF ANALYST,"Policy, Research & Analysis",F,56458,72310,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,STAFF ANALYST II,STAFF ANALYST,"Policy, Research & Analysis",F,56458,72310,Annual,59-17 Junction Blvd Corona Ny
LAW DEPARTMENT,UNIT CHIEF OF DDPC,ASSOCIATE QUALITY ASSURANCE SP,Administration & Human Resources,F,55346,77190,Annual,"100 Church St., N.Y."
DEPT OF INFO TECH & TELECOMM,Senior CRM Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,79471,110000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Senior CRM Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,79471,110000,Annual,2 Metro Tech
LAW DEPARTMENT,Clerical Supervisor (JD),CLERICAL ASSOCIATE,Administration & Human Resources,F,33875,54879,Annual,OCSE Central Court Svcs
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"10 Walker Rd, Valhalla NY10595"
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"10 Walker Rd, Valhalla NY10595"
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Auditor,CITY RESEARCH SCIENTIST,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,78630,103332,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Auditor,CITY RESEARCH SCIENTIST,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,78630,103332,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Quality Assurance Project Manager,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Quality Assurance Project Manager,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,96-05 Horace Harding Expway
DEPARTMENT OF TRANSPORTATION,Clerical Associate 3,CLERICAL ASSOCIATE,"Public Safety, Inspections, & Enforcement",F,33875,54879,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Clerical Associate 3,CLERICAL ASSOCIATE,"Public Safety, Inspections, & Enforcement",F,33875,54879,Annual,55 Water St Ny Ny
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,48535,134433,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,48535,134433,Annual,96-05 Horace Harding Expway
LAW DEPARTMENT,Chief Information Security Officer,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,75000,180000,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Chief Information Security Officer,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,75000,180000,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Project Manager,PROJECT MANAGER INTERN#,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,47974,55170,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Project Manager,PROJECT MANAGER INTERN#,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,47974,55170,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,LEAD DESIGNER FOR WATER TUNNEL STRUCTURAL,CIVIL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,74990,104182,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,LEAD DESIGNER FOR WATER TUNNEL STRUCTURAL,CIVIL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,74990,104182,Annual,96-05 Horace Harding Expway
DEPARTMENT OF TRANSPORTATION,Civil Engineer III,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Civil Engineer III,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (LA,CERTIFIED IT ADMINISTRATOR (LA,"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (LA,CERTIFIED IT ADMINISTRATOR (LA,"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF ENVIRONMENT PROTECTION,Civil Section Manager,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67060,178873,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Civil Section Manager,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67060,178873,Annual,96-05 Horace Harding Expway
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF ENVIRONMENT PROTECTION,Emergency Manager,COMMUNITY COORDINATOR,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,60000,70000,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Emergency Manager,COMMUNITY COORDINATOR,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,60000,70000,Annual,96-05 Horace Harding Expway
DEPT OF INFO TECH & TELECOMM,Technical Lead,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",,85823,120000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Technical Lead,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",,85823,120000,Annual,2 Metro Tech
NYC EMPLOYEES RETIREMENT SYS,"Computer Service Technician, level II",COMPUTER SERVICE TECHNICIAN (C,"Technology, Data & Innovation",F,41336,61334,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,"Computer Service Technician, level II",COMPUTER SERVICE TECHNICIAN (C,"Technology, Data & Innovation",F,41336,61334,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny"
DISTRICT ATTORNEY RICHMOND COU,Computer Programmer,COMPUTER PROGRAMMER ANALYST,"Technology, Data & Innovation",F,47692,65000,Annual,"130 Stuyvesant Place, S.I."
DISTRICT ATTORNEY RICHMOND COU,Computer Programmer,COMPUTER PROGRAMMER ANALYST,"Technology, Data & Innovation",F,47692,65000,Annual,"130 Stuyvesant Place, S.I."
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway
DEPT OF INFO TECH & TELECOMM,UNIX/Linux Administrator,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",,71330,88000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,UNIX/Linux Administrator,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",,71330,88000,Annual,2 Metro Tech
NYC EMPLOYEES RETIREMENT SYS,ADM MANAGER-NON-MGRL FROM M1/M,ADM MANAGER-NON-MGRL FRM M1/M2,Administration & Human Resources,F,49748,145991,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,ADM MANAGER-NON-MGRL FROM M1/M,ADM MANAGER-NON-MGRL FRM M1/M2,Administration & Human Resources,F,49748,145991,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF ENVIRONMENT PROTECTION,WATERSHED MAINTAINER,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl"
DEPT OF ENVIRONMENT PROTECTION,WATERSHED MAINTAINER,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl"
DEPARTMENT OF TRANSPORTATION,Mechanical Engineer 3,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Mechanical Engineer 3,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny
DEPT OF ENVIRONMENT PROTECTION,Deputy Director of Payroll and Timekeeping,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,63817,95022,Annual,59-17 Junction Blvd Corona Ny
LAW DEPARTMENT,Clerical Supervisor (ICSU),CLERICAL ASSOCIATE,Administration & Human Resources,F,33875,54879,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,AGENCY ATTORNEY INTERNE,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,AGENCY ATTORNEY INTERNE,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny
POLICE DEPARTMENT,Staff Analyst,STAFF ANALYST,Administration & Human Resources,,48620,66195,Annual,130-30 28th Ave
